Date           Open    High    Low     Close   AdjCl   Volume
Mar 03, 2017   71.21   71.58   70.68   71.09   69.06   1104100
Mar 02, 2017   72.18   72.34   71.15   71.25   69.22   892900
Mar 01, 2017   72.00   72.52   71.81   72.18   70.12   1293700
Feb 28, 2017   71.18   71.33   70.69   71.11   69.08   1356000
Feb 27, 2017   71.57   71.57   70.92   71.15   69.12   767200
Feb 24, 2017   71.08   71.79   71.05   71.45   69.41   871800
Feb 23, 2017   71.43   71.73   71.17   71.45   69.41   547300
Feb 22, 2017   71.24   71.76   71.06   71.24   69.21   825800
Feb 21, 2017   71.60   71.86   71.27   71.37   69.33   973300
Feb 17, 2017   71.13   71.65   70.80   71.51   69.47   2710400
Feb 16, 2017   71.33   71.59   70.72   71.34   69.30   879400
Feb 15, 2017   71.03   71.63   70.51   71.25   69.22   877000
Feb 14, 2017   70.70   71.04   70.50   70.78   68.76   682600
Feb 13, 2017   69.79   70.86   69.44   70.70   68.68   840300
Feb 10, 2017   69.11   70.00   69.08   69.77   67.78   877600
Feb 09, 2017   69.32   69.47   68.81   69.10   67.13   557600
Feb 08, 2017   69.30   69.38   68.62   68.88   66.91   996000
Feb 07, 2017   69.98   70.14   68.93   69.36   67.38   1371200
Feb 06, 2017   70.05   70.31   69.60   69.74   67.75   869800
Feb 03, 2017   71.00   71.00   70.04   70.34   68.33   974200
Feb 02, 2017   70.67   71.21   70.03   70.67   68.65   829700
Feb 01, 2017   70.47   71.89   70.29   70.75   68.73   1340600
Jan 31, 2017   68.36   70.61   67.26   70.54   68.53   1482700
Jan 30, 2017   68.04   68.26   67.43   68.18   66.23   762800
Jan 27, 2017   68.92   68.93   68.10   68.36   66.41   727600
Jan 26, 2017   68.50   68.90   68.28   68.83   66.86   623600
Jan 25, 2017   68.09   68.45   67.70   68.34   66.39   613800
Jan 24, 2017   67.23   68.29   66.85   67.95   66.01   647000
Jan 23, 2017   67.06   67.68   66.67   67.32   65.40   629700
Jan 20, 2017   67.30   67.58   66.84   67.36   65.44   637800
Jan 19, 2017   67.06   67.34   66.49   67.06   65.14   625000
Jan 18, 2017   66.71   67.29   66.62   67.25   65.33   777600
Jan 17, 2017   67.36   67.68   66.89   66.99   65.08   908800
Jan 13, 2017   67.33   67.92   67.24   67.71   65.78   461000
Jan 12, 2017   67.44   67.55   66.10   67.40   65.48   502600
Jan 11, 2017   67.19   67.80   66.89   67.72   65.79   484100
Jan 10, 2017   67.62   67.87   67.17   67.20   65.28   833900
Jan 09, 2017   68.37   68.45   67.33   67.77   65.83   639900
Jan 06, 2017   67.62   68.81   67.52   68.46   66.50   615200
Jan 05, 2017   67.49   68.15   67.24   67.64   65.71   626300
Jan 04, 2017   66.65   67.80   66.64   67.72   65.79   612500
Jan 03, 2017   67.47   67.59   66.26   66.68   64.78   614600
Dec 30, 2016   67.30   67.44   66.97   67.12   65.20   548700
Dec 29, 2016   67.34   67.47   66.90   67.01   65.10   483700
Dec 28, 2016   67.58   67.62   67.15   67.34   65.42   853200
Dec 27, 2016   67.41   67.57   67.07   67.53   65.60   261500
Dec 23, 2016   67.13   67.38   66.93   67.17   65.25   372100
Dec 22, 2016   67.48   67.50   66.98   67.21   65.29   365900
Dec 21, 2016   68.25   68.25   67.43   67.49   65.56   387400
Dec 20, 2016   67.63   68.11   67.41   68.01   66.07   604600
Dec 19, 2016   67.92   68.56   67.37   67.70   65.77   527900
Dec 16, 2016   68.59   69.08   67.83   68.06   66.12   1274000
Dec 15, 2016   68.41   68.90   68.02   68.61   66.65   731700
Dec 14, 2016   68.95   69.25   67.94   68.26   66.31   1083200
Dec 13, 2016   69.00   69.73   68.86   69.26   66.97   1032400
Dec 12, 2016   68.23   69.07   68.16   68.79   66.52   796000
Dec 09, 2016   68.00   68.68   67.11   68.62   66.35   953200
Dec 08, 2016   67.87   68.13   67.19   67.77   65.53   747000
Dec 07, 2016   66.82   68.08   66.46   67.61   65.38   1481900
Dec 06, 2016   65.14   66.59   64.75   66.52   64.32   1559400
Dec 05, 2016   64.67   65.06   64.31   64.86   62.72   1188900
Dec 02, 2016   63.70   64.50   63.36   63.88   61.77   951800
Dec 01, 2016   63.97   64.32   63.42   63.55   61.45   1039100
Nov 30, 2016   64.95   65.06   63.95   64.09   61.97   1439800
Nov 29, 2016   64.88   65.47   64.42   64.97   62.82   1207600
Nov 28, 2016   65.54   65.54   64.47   64.58   62.45   837000
Nov 25, 2016   65.11   65.69   65.11   65.69   63.52   217900
Nov 23, 2016   65.57   65.62   64.79   65.34   63.18   499000
Nov 22, 2016   66.15   66.21   65.31   65.58   63.41   620000
